 Lables,Quotes,target
1,இவர்களை போல் வாழ வேண்டும் என்று நீ நினைப்பத்தைவிட உன்னை போல் வாழ வேண்டும் என்று அவர்கள் என்னும் அளவிற்கு வாழ்ந்து காட்ட,0
2,எல்லோரும் பயணிக்கிறார்கள் என்று நீயும் பின்தொடராதே உனக்கான பாதையை நீயே தேர்ந்தெடு,0
3,எத்தனை கைகள் என்னை தள்ளிவிட்டாலும் என் நம்பிக்கை என்னை கை விடாத,0
4,இருளான வாழ்க்கை என்று கவலை கொள்ளாதே கனவுகள் முளைப்பது இருளில் தான்,0
5,சந்தேகத்தை எரித்துவிடு நம்பிக்கையை விதைத்துவிடு மகிழ்ச்சி தானாகவே மலரும்,0
6,ஒளியாக நீயிருப்பதால் இருளைபற்றிய கவலை எனக்கில்லை,0
7,பறப்பதற்கு வசதிகள் இருந்தாலும் தரையில் இருக்கவும் கற்றுக்கொள் சிறகுகளை இழந்தாலும் வருந்தமாட்டாய்,0
8,நம்மை அவமானப்படுத்தும் போது அந்த நொடியில் வாழ்க்கை வெறுத்தாலும் அடுத்த நொடியில் இருந்துதான் நம் வாழ்க்கையே ஆரம்பமாகுது,0
9,துன்பம் நம்மை சூழ்ந்த போதும் மேகம் கலைந்த வானமாய் தெளிவாகவே இருப்போம்,0
10,எல்லாம் இருக்கிறது என்று நம்பிக்கையில் இருப்பவன் எதுவுமில்லாமல் போனால் இறந்து போவான் எதுவுமில்லை என்றாலும் தன்னபிக்கையோடு இருப்பவன் எல்லாவற்றையும் பெறுபவன் ஆவான்,0
11,எதுவாக இருந்தாலும் சரி மூழ்கிவிடாதே மிதக்க கற்றுக்கொள்,0
12,முயற்சியும் பயிற்சியும் இருந்தால் நீ உன் இலக்கை அடைவதை யாராலும் தடுக்க முடியாது,0
13,துணிச்சல் அது வெற்றியின் அடையாளம்! தயக்கம் அது தோல்வியின் அடையாளம்! தயங்கியவர் வென்றதில்லை. துணிந்தவர் தோற்றதில்லை,0
14,உன்னை யார் கைவிட்டாலும் உன் நம்பிக்கை உன்னை கை விடாது,0
15,இவர்களை போல் வாழ வேண்டும் என்று நீ நினைப்பத்தைவிட உன்னை போல் வாழ வேண்டும் என்று அவர்கள் என்னும் அளவிற்கு வாழ்ந்து காட்ட,0
16,வாய்ப்புகள் வரும் வரை காத்திருங்கள் பயணங்கள் பாதைகளாக மாறும்,0
17,நம்மால் நேற்றை சரிசெய்ய முடியாது ஆனால் நாளையை உருவாக்க முடியும்,0
18,நீங்கள் பொருளீட்டுவது நலமாய் வாழ்வதற்கு மன அழுத்தத்தினால் உங்களை நீங்களே அழிப்பதற்கல்ல,0
19,நீங்கள் புத்திசாலியான மனிதராக இருந்தால் இயல்பாகவே நீங்கள் அன்பாகவும் இணைத்துக்கொள்ளும் தன்மையுடனும் இருப்பீர்கள்,0
20,உங்கள் வருங்காலத்தைப் பற்றி கவலைப்படாதீர்கள். உங்கள் நிகழ்காலத்தில் நல்லவிதமாக செயல்பட்டால் உங்கள் வருங்காலம் தன்னால் மலரும்,0
