Lables,Quotes,target
1,மெல்லிய வாழ்க்கையின் அற்புதம் அதில் நிற்பது மிகுந்த விஷம்,1
2,நல்லவர்களிடத்தில் மோசமானவர்கள் மிகுந்த மோசம் செய்கின்றனர்,1
3,மரியாதையை நிறுத்திக் கொள்ள முடியாது ஆனால் குற்றத்தை மிகுந்த முக்கியமாக கொள்ள முடியும்,1
4,ஆரம்பத்தின் புதிய விளைவில் மிகுந்த கேடுகள் உள்ளன,1
5,நல்ல நிலையில் மிகுந்த சீருடையவர்கள் பழிய நிலையில் மிகுந்த வேடிக்கையுடையவர்கள்,1
6,நாசமான நடனத்தில் மிகுந்த கலைஞர்கள் மிகுந்த குற்றங்கள் செய்கின்றனர்,1
7,வெற்றியை நேசிப்பவர்களிடத்தில் மிகுந்த தோல்விகள் உள்ளன,1
8,பெரிய வாயின் மிகுந்த திருட்டுக்கள் பெரிய வியப்பு கொள்ள முடியாது,1
9,புதிய திட்டத்தில் மிகுந்த பாதுகாப்பு முடிகின்றது,1
10,மிகுந்த அரிய நேரத்தில் பாதுகாப்பு மிகுந்த காலத்தில் பாதுகாப்புக்கு மாறுவதில்லை,1
11,அற்புதமான வாழ்க்கையின் அரிதான பகுதிகள் மிகுந்த கஷ்டங்களைத் தரும்,1
12,பெருமிதத்தின் மிகுந்த விலக்கு பாதுகாப்பு போதும் போதும் உயிர் நிறுத்தப்படும்,1
13,எப்படி கூடாது என்பதைத் தெரியாமல் எப்படி குதிக்கவும் முடியாது என்று முடிவு செய்துவிடு,1
14,எத்தனை வருஷங்களுக்குப் பின் மிகுந்த மெய்ப்பொருள் அறிவில்லையோ அந்த அளவு கற்பனையில் அடிப்படும்,1
15,எப்படி செய்ய முடியும் என்பது எப்படி செய்ய முடியாது என்பது மிகுந்த காரணமாக இருக்கின்றது,1
16,வாழ்க்கை எப்படி வரும் என்பது எப்படி செய்ய முடியும் என்பது மிகுந்த குறிப்பாக இருக்கின்றது,1
17,மனதில் உள்ள கோபம் உடைகளின் மேல் பேசுகிறது எனக்கு தெரியாத ஒரு நிலைமைகளுக்கு,1
18,எந்த ஒரு சிந்தனையும் எனக்கு சொல்லாத முடியாத காரணம் உண்டு அது என்னவோ உனக்கு சொல்லு,1
19,வாழ்க்கையில் யாரும் உதவ மாட்டார்கள் ஏனெனில் நீங்கள் பிரச்சினையின் பெருமையை பெற வேண்டும்,1
20,எப்படி கூடாது என்பதைத் தெரியாமல் எப்படி குதிக்கவும் முடியாது என்று முடிவு செய்துவிடு,1
